name,quantity,notes,final_price,original_price,discount,url
"Noble Zyme Unique Soil Conditioner, Improves Soil Humidity Structure and Viability, Suitable For All Kinds Of Crops",300.00 kg,1 Kg x 300 Qty,23920,62400,38480,https://agribegri.com/products/noble-zyme-bio-fertilizer-online--bio-fertilizer--fertilizer.php
Ramban Combo (Neemz 500 ML + Forever 500 ML + NB-80 250 ML) For Initial Growth Stage Use In Any Crop,1.00 set,,736,1888,1152,https://agribegri.com/products/buy-noble-crop-science-ramban-combo-online.php
Growth and Development Combo (Farmtone NPK 19:19:19 3 Kg + HUBEL Humic Acid 98% 1.2 Kg),1.00 set,,1147,3250,2103,https://agribegri.com/products/buy-growth-and-development-combo-online.php
Suraksha Kit For Larva Control at Flowering Stage 45-80 Days (F-Zone 250 ML + Star One 250 ML + Flower Magic 250 ML +NB 80 250 ML),1.00 set,,1623,3389,1766,https://agribegri.com/products/buy-noble-crop-science-suraksha-kit-larava-control-online-1.php
Suraksha Kit for Larva Control at Growth Stage First 40-45 days (F-Zone 250 ML + Star One 250 ML + Spring Ever 1 Ltr + NB 80 250 ML),1.00 set,,1802,4215,2413,https://agribegri.com/products/buy-noble-crop-science-suraksha-kit-larava-control-online.php
Suraksha Kit For Thrips And Mites Control at Flowering Stage 45-80 Days (F-Zone 250 ML + Alpha Bio 250 ML + Flower Magic 250 ML + NB 80 250 ML),1.00 set,,1623,3255,1632,https://agribegri.com/products/buy-noble-crop-science-suraksha-kit-thrips-and-mites-control-f-zone-alpha-bio-flower-magicnb-80.php
Suraksha Kit For Thrips And Mites Control at Growth Stage 40-45 Days (F-Zone 250 ML + Alpha Bio 250 ML + Spring Ever 1 Ltr + NB 80 250 ML),1.00 set,,1799,4081,2282,https://agribegri.com/products/buy-noble-crop-science-suraksha-kit-thrips-and-mites-control-online.php
Suraksha Kit Sucking Pest Control at Flowering Stage 45-80 Days (F-Zone 250 ML + Miraj 250 ML + Flower Magic 250 ML + NB 80 250 ML),1.00 set,,1577,3224,1647,https://agribegri.com/products/buy-noble-crop-science-suraksha-kit-sucking-pest-control-online--f-zone--miraz--nb-80--flower-magic.php
Suraksha Kit Sucking Pest Control at Growth Stage 40-45 Days (F-Zone 250 ML + Miraj 250 ML + Spring Ever 1 Ltr + NB 80 250 ML),1.00 set,,1757,4050,2293,https://agribegri.com/products/buy-noble-crop-science-suraksha-kit-sucking-pest-control-online--f-zone--spring-ever--nb-80--miraz.php
Nio Star - Superior Plant Growth Promoter and High-Performance Yield Enhancer (Fulvic Acid + NATCA + Organic Enzyme + Emulsifier),100.00 ml,100 ML x 1 Qty,344,645,301,https://agribegri.com/products/nio-star-pgr-250ml-online--plant-growth-promoter-online--pgr.php
"Flow N - Nitrobenzene 35% Flowering Stimulant, Promotes Root Growth, Water Retention, Reduces Soil Erosion, Organic Fertilizer",500.00 ml,500 ML x 1 Qty,369,832,463,https://agribegri.com/products/-flow-n-online--nitrobenzene--plant-growth-promoter.php
